Symbol	Bed chr (hg19)	start	end	chr locus	Annotator	Date updated	Origin	Expansion of gene name	Known function of gene	Variant type	Hom or Het	Variant chr	Variant start	Variant end	Call	Literature 1 (Title; PMID; Lit score)	Literature 2 (Title; PMID; Lit score)	Literature 3 (Title; PMID; Lit score)	Literature 4 (Title; PMID; Lit score)	Literature 5 (Title; PMID; Lit score)	Literature 6 (Title; PMID; Lit score)	Literature 7 (Title; PMID; Lit score)	Free text comments		Pathway
PEX10	chr1	2336240	2344010	1p36.32	KH	8/30/2017	Index gene	peroxisomal biogenesis factor 10	This gene encodes a protein involved in import of peroxisomal matrix proteins. This protein localizes to the peroxisomal membrane. Mutations in this gene result in phenotypes within the Zellweger spectrum of peroxisomal biogenesis disorders, ranging from neonatal adrenoleukodystrophy to Zellweger syndrome	1	Het				CARRIER	Expanding the spectrum of PEX10-related peroxisomal biogenesis disorders: slowly progressive recessive ataxia; PMID: 27230853; 1									
PEX10	chr1	2336240	2344010	1p36.32	KH	8/30/2017	Index gene	peroxisomal biogenesis factor 10	This gene encodes a protein involved in import of peroxisomal matrix proteins. This protein localizes to the peroxisomal membrane. Mutations in this gene result in phenotypes within the Zellweger spectrum of peroxisomal biogenesis disorders, ranging from neonatal adrenoleukodystrophy to Zellweger syndrome	3	Het				LP	The first patient with a pure 1p36 microtriplication associated with severe clinical phenotypes; PMID: 25324898; 1									
FAM213B	chr1	2517898	2522908	1p36.32			Index gene	family with sequence similarity 213 member B																	
MMEL1	chr1	2522080	2564481	1p36.32			Index gene	membrane metalloendopeptidase like 1																	
TPRG1L	chr1	3541555	3546694	1p36.32			Index gene	tumor protein p63 regulated 1 like																	
LRRC47	chr1	3696783	3713068	1p36.32			Index gene	leucine rich repeat containing 47																	
RPL22	chr1	6245079	6259679	1p36.31			Index gene	ribosomal protein L22																	
ACOT7	chr1	6324331	6453826	1p36.31			Index gene	acyl-CoA thioesterase 7																	
THAP3	chr1	6684924	6695646	1p36.31			Index gene	THAP domain containing 3																	
DNAJC11	chr1	6694227	6761966	1p36.31			Index gene	DnaJ heat shock protein family (Hsp40) member C11																	
CAMTA1	chr1	6845383	7829766	1p36.31-p36.23			Index gene	calmodulin binding transcription activator 1																	
PARK7	chr1	8021713	8045342	1p36.23			Index gene	Parkinsonism associated deglycase																	
RERE	chr1	8412463	8877699	1p36.23			Index gene	arginine-glutamic acid dipeptide repeats																	
ENO1	chr1	8921058	8939151	1p36.23			Index gene	enolase 1																	
CLSTN1	chr1	9789078	9884584	1p36.22			Index gene	calsyntenin 1																	
CTNNBIP1	chr1	9908333	9970316	1p36.22			Index gene	catenin beta interacting protein 1																	
LZIC	chr1	9982170	10003485	1p36.22			Index gene	leucine zipper and CTNNBIP1 domain containing																	
UBE4B	chr1	10093040	10241296	1p36.22			Index gene	ubiquitination factor E4B																	
KIF1B	chr1	10270763	10441661	1p36.22			Index gene	kinesin family member 1B																	
PGD	chr1	10459048	10480568	1p36.22			Index gene	phosphogluconate dehydrogenase																	
PEX14	chr1	10535002	10690815	1p36.22			Index gene	peroxisomal biogenesis factor 14																	
TARDBP	chr1	11072678	11085549	1p36.22			Index gene	TAR DNA binding protein																	
SRM	chr1	11114648	11120091	1p36.22			Index gene	spermidine synthase																	
EXOSC10	chr1	11126669	11159967	1p36.22			Index gene	exosome component 10																	
MTOR	chr1	11166587	11322608	1p36.22			Index gene	mechanistic target of rapamycin																	
FBXO44	chr1	11714431	11723384	1p36.22			Index gene	F-box protein 44																	
MAD2L2	chr1	11734536	11751678	1p36.22			Index gene	mitotic arrest deficient 2 like 2																	
CLCN6	chr1	11866152	11903201	1p36.22			Index gene	chloride voltage-gated channel 6																	
KIAA2013	chr1	11979644	11986485	1p36.22			Index gene	KIAA2013																	
PLOD1	chr1	11994723	12035599	1p36.22			Index gene	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1																	
MFN2	chr1	12040237	12073572	1p36.22			Index gene	mitofusin 2																	
PRDM2	chr1	14026734	14151574	1p36.21			Index gene	PR/SET domain 2																	
PLEKHM2	chr1	16010826	16061264	1p36.21			Index gene	pleckstrin homology and RUN domain containing M2																	
UQCRHL	chr1	16133656	16134194	1p36.21			Index gene	ubiquinol-cytochrome c reductase hinge protein like																	
SPEN	chr1	16174358	16266950	1p36.21-p36.13			Index gene	spen family transcriptional repressor																	
ZBTB17	chr1	16268363	16302627	1p36.13			Index gene	zinc finger and BTB domain containing 17																	
SZRD1	chr1	16693524	16724643	1p36.13			Index gene	SUZ RNA binding domain containing 1																	
SPATA21	chr1	16725137	16763919	1p36.13			Index gene	spermatogenesis associated 21																	
ATP13A2	chr1	17312452	17338467	1p36.13			Index gene	ATPase 13A2																	
SDHB	chr1	17345224	17380665	1p36.13			Index gene	succinate dehydrogenase complex iron sulfur subunit B																	
RCC2	chr1	17733250	17766250	1p36.13			Index gene	regulator of chromosome condensation 2																	
IGSF21	chr1	18434239	18704977	1p36.13			Index gene	immunoglobin superfamily member 21																	
UBR4	chr1	19400999	19536746	1p36.13			Index gene	ubiquitin protein ligase E3 component n-recognin 4																	
EMC1	chr1	19542157	19578053	1p36.13			Index gene	ER membrane protein complex subunit 1																	
MRTO4	chr1	19578074	19586622	1p36.13			Index gene	MRT4 homolog, ribosome maturation factor																	
AKR7A2	chr1	19629201	19638640	1p36.13			Index gene	aldo-keto reductase family 7 member A2																	
CAPZB	chr1	19665266	19812135	1p36.13			Index gene	capping actin protein of muscle Z-line beta subunit																	
MINOS1	chr1	19923470	19956315	1p36.13			Index gene	mitochondrial inner membrane organizing system 1																	
NBL1	chr1	19969722	19984949	1p36.13			Index gene	neuroblastoma 1, DAN family BMP antagonist																	
MUL1	chr1	20825940	20834674	1p36.12			Index gene	mitochondrial E3 ubiquitin protein ligase 1																	
PINK1	chr1	20959947	20978004	1p36.12			Index gene	PTEN induced putative kinase 1																	
DDOST	chr1	20978259	20988037	1p36.12			Index gene	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit																	
HP1BP3	chr1	21069170	21113181	1p36.12			Index gene	heterochromatin protein 1 binding protein 3																	
EIF4G3	chr1	21132784	21503381	1p36.12			Index gene	eukaryotic translation initiation factor 4 gamma 3																	
RAP1GAP	chr1	21922707	21995856	1p36.12			Index gene	RAP1 GTPase activating protein																	
USP48	chr1	22004791	22109688	1p36.12			Index gene	ubiquitin specific peptidase 48																	
CDC42	chr1	22379119	22419436	1p36.12			Index gene	cell division cycle 42																	
KDM1A	chr1	23345940	23410184	1p36.12			Index gene	lysine demethylase 1A																	
HNRNPR	chr1	23631180	23670857	1p36.12			Index gene	heterogeneous nuclear ribonucleoprotein R																	
RPL11	chr1	24018268	24022915	1p36.11			Index gene	ribosomal protein L11																	
PITHD1	chr1	24104875	24114722	1p36.11			Index gene	PITH domain containing 1																	
CLIC4	chr1	25071759	25170815	1p36.11			Index gene	chloride intracellular channel 4																	
SYF2	chr1	25548766	25559013	1p36.11			Index gene	SYF2 pre-mRNA splicing factor																	
TMEM50A	chr1	25664788	25688852	1p36.11			Index gene	transmembrane protein 50A																	
TMEM57	chr1	25757348	25826698	1p36.11			Index gene	transmembrane protein 57																	
SEPN1	chr1	26126666	26144713	#N/A			Index gene	#N/A																	
MTFR1L	chr1	26146396	26159433	1p36.11			Index gene	mitochondrial fission regulator 1 like																	
STMN1	chr1	26210676	26233368	1p36.11			Index gene	stathmin 1																	
SH3BGRL3	chr1	26606212	26608013	1p36.11			Index gene	SH3 domain binding glutamate rich protein like 3																	
UBXN11	chr1	26608772	26644756	1p36.11	HT	12/6/2017	Index gene	UBX domain protein 11		1	het				VOUS	Socius, a novel binding partner of Galpha12/13, promotes the Galpha12-induced RhoA activation; PMID: 16202387; 4									
ARID1A	chr1	27022521	27108601	1p36.11			Index gene	AT-rich interaction domain 1A																	
NUDC	chr1	27248212	27273362	1p36.11			Index gene	nuclear distribution C, dynein complex regulator																	
TRNP1	chr1	27320194	27327377	1p36.11			Index gene	TMF1-regulated nuclear protein 1																	
WDTC1	chr1	27561006	27635124	1p36.11			Index gene	WD and tetratricopeptide repeats 1																	
TMEM222	chr1	27648635	27662891	1p36.11			Index gene	transmembrane protein 222																	
IFI6	chr1	27992571	27998724	1p35.3			Index gene	interferon alpha inducible protein 6																	
STX12	chr1	28099693	28150963	1p35.3			Index gene	syntaxin 12																	
PPP1R8	chr1	28157251	28178183	1p35.3			Index gene	protein phosphatase 1 regulatory subunit 8																	
RPA2	chr1	28218035	28241308	1p35.3			Index gene	replication protein A2																	
DNAJC8	chr1	28526789	28559542	1p35.3			Index gene	DnaJ heat shock protein family (Hsp40) member C8																	
ATPIF1	chr1	28562601	28564616	1p35.3			Index gene	ATPase inhibitory factor 1																	
TRNAU1AP	chr1	28879528	28905057	1p35.3			Index gene	tRNA selenocysteine 1 associated protein 1																	
TAF12	chr1	28929608	28969604	1p35.3			Index gene	TATA-box binding protein associated factor 12																	
YTHDF2	chr1	29063132	29096287	1p35.3			Index gene	YTH N6-methyladenosine RNA binding protein 2																	
SRSF4	chr1	29474249	29508637	1p35.3			Index gene	serine and arginine rich splicing factor 4																	
MECR	chr1	29519168	29557470	1p35.3			Index gene	mitochondrial trans-2-enoyl-CoA reductase																	
SDC3	chr1	31342312	31381480	1p35.2			Index gene	syndecan 3																	
PUM1	chr1	31404352	31538564	1p35.2			Index gene	pumilio RNA binding family member 1																	
SNRNP40	chr1	31732414	31769644	1p35.2			Index gene	small nuclear ribonucleoprotein U5 subunit 40																	
ZCCHC17	chr1	31769828	31837800	1p35.2			Index gene	zinc finger CCHC-type containing 17																	
FABP3	chr1	31838099	31846135	1p35.2			Index gene	fatty acid binding protein 3																	
PEF1	chr1	32095462	32110838	1p35.2			Index gene	penta-EF-hand domain containing 1																	
ADGRB2	chr1	32192705	32229664	1p35.2			Index gene	adhesion G protein-coupled receptor B2																	
PTP4A2	chr1	32372021	32403988	1p35.2			Index gene	protein tyrosine phosphatase type IVA, member 2																	
KHDRBS1	chr1	32479294	32526460	1p35.2			Index gene	KH RNA binding domain containing, signal transduction associated 1																	
KPNA6	chr1	32573643	32642168	1p35.2			Index gene	karyopherin subunit alpha 6																	
CCDC28B	chr1	32665986	32670991	1p35.2			Index gene	coiled-coil domain containing 28B																	
EIF3I	chr1	32687184	32697205	1p35.2			Index gene	eukaryotic translation initiation factor 3 subunit I																	
MARCKSL1	chr1	32799429	32801840	1p35.1			Index gene	MARCKS like 1																	
BSDC1	chr1	32830233	32860062	1p35.1			Index gene	BSD domain containing 1																	
RBBP4	chr1	33116748	33151812	1p35.1			Index gene	RB binding protein 4, chromatin remodeling factor																	
SYNC	chr1	33145506	33168361	1p35.1			Index gene	syncoilin, intermediate filament protein																	
YARS	chr1	33240839	33283633	1p35.1			Index gene	tyrosyl-tRNA synthetase																	
HPCA	chr1	33352097	33360247	1p35.1			Index gene	hippocalcin																	
RNF19B	chr1	33402046	33430414	1p35.1			Index gene	ring finger protein 19B																	
ZNF362	chr1	33722173	33766320	1p35.1	HT	12/6/2017	Index gene	zinc finger protein 362		1	het				VOUS	Proximity biotinylation and affinity purification are complementary approaches for the interactome mapping of chromatin-associated protein complexes; PMID: 25281560; 4									
PHC2	chr1	33789223	33841194	1p35.1			Index gene	polyhomeotic homolog 2																	
DLGAP3	chr1	35331036	35395186	1p34.3			Index gene	DLG associated protein 3																	
SFPQ	chr1	35641978	35658746	1p34.3			Index gene	splicing factor proline and glutamine rich																	
ZMYM4	chr1	35734567	35887545	1p34.3			Index gene	zinc finger MYM-type containing 4																	
KIAA0319L	chr1	35899090	36023037	1p34.3			Index gene	KIAA0319 like																	
NCDN	chr1	36023392	36032380	1p34.3			Index gene	neurochondrin																	
PSMB2	chr1	36065142	36107445	1p34.3			Index gene	proteasome subunit beta 2																	
C1orf216	chr1	36179476	36184790	1p34.3			Index gene	chromosome 1 open reading frame 216																	
ADPRHL2	chr1	36554452	36559533	1p34.3	KH	12/6/2017	Index gene	ADP-ribosylhydrolase like 2	This gene encodes a member of the ADP-ribosylglycohydrolase family. The encoded enzyme catalyzes the removal of ADP-ribose from ADP-ribosylated proteins. This enzyme localizes to the mitochondria, in addition to the nucleus and cytoplasm		Het				VOUS										Mito
TRAPPC3	chr1	36602169	36621654	1p34.3			Index gene	trafficking protein particle complex 3																	
MAP7D1	chr1	36621565	36646451	1p34.3			Index gene	MAP7 domain containing 1																	
THRAP3	chr1	36690012	36770957	1p34.3			Index gene	thyroid hormone receptor associated protein 3																	
STK40	chr1	36805219	36851528	1p34.3			Index gene	serine/threonine kinase 40																	
LSM10	chr1	36859020	36863560	1p34.3			Index gene	LSM10, U7 small nuclear RNA associated																	
MRPS15	chr1	36921361	36930040	1p34.3			Index gene	mitochondrial ribosomal protein S15																	
MEAF6	chr1	37955560	37980420	1p34.3			Index gene	MYST/Esa1 associated factor 6																	
MANEAL	chr1	38259773	38267278	1p34.3			Index gene	mannosidase endo-alpha like																	
C1orf122	chr1	38273472	38275126	1p34.3			Index gene	chromosome 1 open reading frame 122																	
SF3A3	chr1	38422651	38455782	1p34.3			Index gene	splicing factor 3a subunit 3																	
UTP11	chr1	38478383	38490497	1p34.3			Index gene	UTP11, small subunit processome component homolog (S. cerevisiae)																	
RRAGC	chr1	39303868	39325495	1p34.3			Index gene	Ras related GTP binding C																	
AKIRIN1	chr1	39456915	39471737	1p34.3			Index gene	akirin 1																	
NDUFS5	chr1	39491966	39500308	1p34.3			Index gene	NADH:ubiquinone oxidoreductase subunit S5																	
MACF1	chr1	39549838	39952810	1p34.3			Index gene	microtubule-actin crosslinking factor 1																	
PABPC4	chr1	40026484	40042521	1p34.3			Index gene	poly(A) binding protein cytoplasmic 4																	
HPCAL4	chr1	40144319	40157382	1p34.2			Index gene	hippocalcin like 4																	
PPIE	chr1	40204516	40229586	1p34.2			Index gene	peptidylprolyl isomerase E																	
CAP1	chr1	40506254	40538321	1p34.2			Index gene	adenylate cyclase associated protein 1																	
PPT1	chr1	40538381	40563142	1p34.2			Index gene	palmitoyl-protein thioesterase 1																	
SMAP2	chr1	40839377	40888998	1p34.2			Index gene	small ArfGAP2																	
RIMS3	chr1	41086351	41131324	1p34.2			Index gene	regulating synaptic membrane exocytosis 3																	
NFYC	chr1	41157241	41237276	1p34.2			Index gene	nuclear transcription factor Y subunit gamma																	
SCMH1	chr1	41492870	41707815	1p34.2			Index gene	sex comb on midleg homolog 1 (Drosophila)																	
FOXJ3	chr1	42642209	42801548	1p34.2			Index gene	forkhead box J3																	
PPCS	chr1	42922011	42939049	1p34.2			Index gene	phosphopantothenoylcysteine synthetase																	
PPIH	chr1	43124047	43142429	1p34.2			Index gene	peptidylprolyl isomerase H																	
YBX1	chr1	43147905	43169474	1p34.2			Index gene	Y-box binding protein 1																	
C1orf50	chr1	43232915	43241413	1p34.2			Index gene	chromosome 1 open reading frame 50																	
SLC2A1	chr1	43391045	43424847	1p34.2			Index gene	solute carrier family 2 member 1																	
EBNA1BP2	chr1	43629844	43638241	1p34.2			Index gene	EBNA1 binding protein 2																	
MED8	chr1	43849578	43855483	1p34.2			Index gene	mediator complex subunit 8																	
HYI	chr1	43916673	43919660	1p34.2			Index gene	hydroxypyruvate isomerase (putative)																	
PTPRF	chr1	43991707	44089343	1p34.2			Index gene	protein tyrosine phosphatase, receptor type F																	
KDM4A	chr1	44115796	44171189	1p34.2-p34.1			Index gene	lysine demethylase 4A																	
ST3GAL3	chr1	44173203	44396837	1p34.1			Index gene	ST3 beta-galactoside alpha-2,3-sialyltransferase 3																	
IPO13	chr1	44412477	44433694	1p34.1			Index gene	importin 13																	
ATP6V0B	chr1	44440319	44443972	1p34.1			Index gene	ATPase H+ transporting V0 subunit b																	
B4GALT2	chr1	44444873	44456843	1p34.1			Index gene	beta-1,4-galactosyltransferase 2																	
DMAP1	chr1	44679124	44686351	1p34.1			Index gene	DNA methyltransferase 1 associated protein 1																	
ERI3	chr1	44686741	44820951	1p34.1			Index gene	ERI1 exoribonuclease family member 3																	
RNF220	chr1	44870831	45117396	1p34.1			Index gene	ring finger protein 220																	
TMEM53	chr1	45118918	45140280	1p34.1			Index gene	transmembrane protein 53																	
RPS8	chr1	45241245	45244412	1p34.1			Index gene	ribosomal protein S8																	
EIF2B3	chr1	45316193	45452394	1p34.1			Index gene	eukaryotic translation initiation factor 2B subunit gamma																	
HECTD3	chr1	45468219	45477027	1p34.1			Index gene	HECT domain E3 ubiquitin protein ligase 3																	
UROD	chr1	45477804	45481341	1p34.1			Index gene	uroporphyrinogen decarboxylase																	
PRDX1	chr1	45976706	45988562	1p34.1			Index gene	peroxiredoxin 1																	
AKR1A1	chr1	46016454	46035723	1p34.1			Index gene	aldo-keto reductase family 1 member A1																	
NASP	chr1	46049659	46084578	1p34.1			Index gene	nuclear autoantigenic sperm protein																	
GPBP1L1	chr1	46092975	46152302	1p34.1			Index gene	GC-rich promoter binding protein 1 like 1																	
MAST2	chr1	46269278	46501796	1p34.1			Index gene	microtubule associated serine/threonine kinase 2																	
POMGNT1	chr1	46654352	46685977	1p34.1			Index gene	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)																	
LRRC41	chr1	46744071	46769038	1p34.1-p33			Index gene	leucine rich repeat containing 41																	
UQCRH	chr1	46769284	46782449	1p33			Index gene	ubiquinol-cytochrome c reductase hinge protein																	
FAAH	chr1	46859938	46879520	1p33			Index gene	fatty acid amide hydrolase																	
ATPAF1	chr1	47100710	47134099	1p33			Index gene	ATP synthase mitochondrial F1 complex assembly factor 1																	
EFCAB14	chr1	47140830	47184736	1p33			Index gene	EF-hand calcium binding domain 14																	
CMPK1	chr1	47799468	47844511	1p33			Index gene	cytidine/uridine monophosphate kinase 1																	
BEND5	chr1	49193194	49242641	1p33			Index gene	BEN domain containing 5																	
FAF1	chr1	50906934	51425936	1p32.3			Index gene	Fas associated factor 1																	
RNF11	chr1	51701944	51739119	1p32.3			Index gene	ring finger protein 11																	
EPS15	chr1	51819934	51984995	1p32.3			Index gene	epidermal growth factor receptor pathway substrate 15																	
OSBPL9	chr1	52082545	52254891	1p32.3			Index gene	oxysterol binding protein like 9																	
NRDC	chr1	52254865	52344609	1p32.3			Index gene	nardilysin convertase																	
TXNDC12	chr1	52485803	52521843	1p32.3			Index gene	thioredoxin domain containing 12																	
ZFYVE9	chr1	52607765	52812358	1p32.3			Index gene	zinc finger FYVE-type containing 9																	
ZYG11B	chr1	53192130	53293013	1p32.3			Index gene	zyg-11 family member B, cell cycle regulator																	
SCP2	chr1	53392900	53517289	1p32.3			Index gene	sterol carrier protein 2																	
C1orf123	chr1	53679771	53686311	1p32.3			Index gene	chromosome 1 open reading frame 123																	
MAGOH	chr1	53692563	53704282	1p32.3			Index gene	mago homolog, exon junction complex core component																	
YIPF1	chr1	54317391	54355504	1p32.3			Index gene	Yip1 domain family member 1																	
TMEM59	chr1	54492353	54519246	1p32.3			Index gene	transmembrane protein 59																	
MRPL37	chr1	54665839	54684056	1p32.3			Index gene	mitochondrial ribosomal protein L37																	
SSBP3	chr1	54691103	54872068	1p32.3			Index gene	single stranded DNA binding protein 3																	
MROH7	chr1	55107412	55175940	1p32.3			Index gene	maestro heat like repeat family member 7																	
TTC4	chr1	55181494	55208328	1p32.3			Index gene	tetratricopeptide repeat domain 4																	
DHCR24	chr1	55315299	55352921	1p32.3			Index gene	24-dehydrocholesterol reductase																	
JUN	chr1	59246462	59249785	1p32.1			Index gene	Jun proto-oncogene, AP-1 transcription factor subunit																	
JAK1	chr1	65298905	65533429	1p31.3			Index gene	Janus kinase 1																	
DNAJC6	chr1	65730376	65881552	1p31.3			Index gene	DnaJ heat shock protein family (Hsp40) member C6																	
PDE4B	chr1	66258192	66840262	1p31.3			Index gene	phosphodiesterase 4B																	
SGIP1	chr1	66999251	67216822	1p31.3			Index gene	SH3 domain GRB2 like endophilin interacting protein 1																	
SERBP1	chr1	67873492	67896123	1p31.3			Index gene	SERPINE1 mRNA binding protein 1																	
WLS	chr1	68564141	68698284	1p31.3			Index gene	wntless Wnt ligand secretion mediator																	
SRSF11	chr1	70671364	70717701	1p31.1			Index gene	serine and arginine rich splicing factor 11																	
ZRANB2	chr1	71528973	71546972	1p31.1			Index gene	zinc finger RANBP2-type containing 2																	
NEGR1	chr1	71868624	72748277	1p31.1			Index gene	neuronal growth regulator 1																	
ACADM	chr1	76190031	76229363	1p31.1			Index gene	acyl-CoA dehydrogenase, C-4 to C-12 straight chain																	
RABGGTB	chr1	76251878	76260775	1p31.1			Index gene	Rab geranylgeranyltransferase beta subunit																	
PIGK	chr1	77554666	77685132	1p31.1			Index gene	phosphatidylinositol glycan anchor biosynthesis class K																	
USP33	chr1	78161673	78225564	1p31.1			Index gene	ubiquitin specific peptidase 33																	
FUBP1	chr1	78412166	78444889	1p31.1			Index gene	far upstream element binding protein 1																	
PRKACB	chr1	84543657	84704181	1p31.1			Index gene	protein kinase cAMP-activated catalytic subunit beta																	
GNG5	chr1	84964005	84972262	1p22.3			Index gene	G protein subunit gamma 5																	
DDAH1	chr1	85784167	86044046	1p22.3			Index gene	dimethylarginine dimethylaminohydrolase 1																	
SH3GLB1	chr1	87170252	87213867	1p22.3			Index gene	SH3 domain containing GRB2 like, endophilin B1																	
SEP15	chr1	87328127	87380107	#N/A			Index gene	#N/A																	
LMO4	chr1	87794150	87814607	1p22.3		12/6/2017	Index gene	LIM domain only 4		1	het				VOUS	A Selective Role for Lmo4 in Cue-Reward Learning; PMID: 26134647; 2	The Isl1-Lhx3 Complex Promotes Motor Neuron Specification by Activating Transcriptional Pathways that Enhance Its Own Expression and Formation; PMID: 28451636; 4	Cisplatin-induced apoptosis in auditory, renal, and neuronal cells is associated with nitration and downregulation of LMO4; PMID: 26925255; 4	Area-specific development of distinct projection neuron subclasses is regulated by postnatal epigenetic modifications; PMID: 26814051; 2	Lmo4 establishes rostral motor cortex projection neuron subtype diversity; PMID: 23575831; 2	The LIM adaptor protein LMO4 is an essential regulator of neural crest development; PMID: 22119055; 4	LMO4 controls the balance between excitatory and inhibitory spinal V2 interneurons; PMID: 19323994; 4			
GTF2B	chr1	89318320	89357301	1p22.2			Index gene	general transcription factor IIB																	
ZNF326	chr1	90460653	90501089	1p22.2			Index gene	zinc finger protein 326																	
RPL5	chr1	93297593	93307481	1p22.1			Index gene	ribosomal protein L5																	
DR1	chr1	93811477	93828148	1p22.1			Index gene	down-regulator of transcription 1																	
DNTTIP2	chr1	94335013	94344762	1p22.1			Index gene	deoxynucleotidyltransferase terminal interacting protein 2																	
ABCD3	chr1	94883932	94984219	1p21.3			Index gene	ATP binding cassette subfamily D member 3																	
CNN3	chr1	95362504	95392779	1p21.3			Index gene	calponin 3																	
PTBP2	chr1	97187160	97280605	1p21.3			Index gene	polypyrimidine tract binding protein 2																	
MFSD14A	chr1	100503788	100548929	1p21.2			Index gene	major facilitator superfamily domain containing 14A																	
RTCA	chr1	100731713	100758325	1p21.2			Index gene	RNA 3'-terminal phosphate cyclase																	
CLCC1	chr1	109472129	109506121	1p13.3			Index gene	chloride channel CLIC like 1																	
WDR47	chr1	109512837	109584850	1p13.3			Index gene	WD repeat domain 47																	
TAF13	chr1	109606997	109618624	1p13.3			Index gene	TATA-box binding protein associated factor 13																	
TMEM167B	chr1	109633362	109639556	1p13.3			Index gene	transmembrane protein 167B																	
SARS	chr1	109756514	109780804	1p13.3			Index gene	seryl-tRNA synthetase																	
CELSR2	chr1	109792640	109818378	1p13.3			Index gene	cadherin EGF LAG seven-pass G-type receptor 2																	
SORT1	chr1	109852187	109940567	1p13.3			Index gene	sortilin 1																	
PSMA5	chr1	109941652	109969108	1p13.3			Index gene	proteasome subunit alpha 5																	
AMPD2	chr1	110162434	110174677	1p13.3			Index gene	adenosine monophosphate deaminase 2																	
GSTM2	chr1	110210643	110226619	1p13.3			Index gene	glutathione S-transferase mu 2																	
GSTM3	chr1	110276553	110283660	1p13.3			Index gene	glutathione S-transferase mu 3																	
AHCYL1	chr1	110527386	110566364	1p13.3			Index gene	adenosylhomocysteinase like 1																	
STRIP1	chr1	110574198	110597263	1p13.3			Index gene	striatin interacting protein 1																	
