#hg19.refGene.name	hg19.refGene.chrom	hg19.refGene.txStart	hg19.refGene.txEnd	hgFixed.refLink.name	hgFixed.refLink.geneName
NM_001350797	chr1	59762309	60228402	FGGY	152381
NM_001350796	chr1	59762309	60228402	FGGY	152381
NM_001350795	chr1	59762624	60228402	FGGY	152381
NM_001350793	chr1	59762309	60228402	FGGY	152381
NM_001347147	chr1	63915129	63988944	ITGB3BP	80922
NM_001145512	chr1	61547533	61928460	NFIA	80155
NM_001145511	chr1	61542945	61928460	NFIA	80155
NM_005595	chr1	61547979	61928460	NFIA	80155
NM_001113411	chr1	59762624	60228402	FGGY	152381
NR_103473	chr1	59762683	60165066	FGGY	152381
NM_003368	chr1	62902382	62917475	USP1	23030
NM_014288	chr1	63906440	63988944	ITGB3BP	80922
NM_001347145	chr1	63906440	63988944	ITGB3BP	80922
NM_001347148	chr1	63906440	63988944	ITGB3BP	80922
NM_001198689	chr1	65991371	66101111	LEPR	49932
NM_001198688	chr1	65991371	66091917	LEPR	49932
NM_001198687	chr1	65991371	66096095	LEPR	49932
NM_001134673	chr1	61547979	61928460	NFIA	80155
NM_001017416	chr1	62901974	62917475	USP1	23030
NM_001017415	chr1	62901974	62917475	USP1	23030
NM_001003680	chr1	65886334	66096095	LEPR	49932
NM_001003679	chr1	65886334	66101111	LEPR	49932
NM_020794	chr1	70225857	70589171	LRRC7	156276
NM_001330635	chr1	70032867	70589171	LRRC7	156276
NM_173808	chr1	71868624	72748277	NEGR1	75145
NM_001350216	chr1	70034436	70589171	LRRC7	156276
NR_146056	chr1	76540368	77096669	ST6GALNAC3	154691
NM_001349107	chr1	76540368	77096669	ST6GALNAC3	154691
NM_152996	chr1	76540368	77096669	ST6GALNAC3	154691
NM_001349111	chr1	76540368	77096669	ST6GALNAC3	154691
NM_001349110	chr1	76540368	77042892	ST6GALNAC3	154691
NM_001349109	chr1	76540368	77103001	ST6GALNAC3	154691
NM_001349108	chr1	76540368	77096669	ST6GALNAC3	154691
NM_001349106	chr1	76540368	77096669	ST6GALNAC3	154691
NM_001349105	chr1	76540368	77096669	ST6GALNAC3	154691
NM_005482	chr1	77554666	77685132	PIGK	79029
NM_001160011	chr1	76540368	77042892	ST6GALNAC3	154691
NR_024602	chr1	87012758	87046432	CLCA4	79697
NR_110682	chr1	89003195	89150887	PKN2-AS1	325061
NM_032270	chr1	90098643	90185094	LRRC8C	77278
NM_012128	chr1	87012758	87046432	CLCA4	79697
NM_001134445	chr1	85784167	86044046	DDAH1	38257
NM_002061	chr1	94350755	94375154	GCLM	80666
NM_001308253	chr1	94350755	94375154	GCLM	80666
NM_001252269	chr1	93307716	93427079	FAM69A	155110
NM_001252270	chr1	93307716	93427079	FAM69A	155110
NM_001252273	chr1	93298285	93427079	FAM69A	155110
NM_001252271	chr1	93307716	93342707	FAM69A	155110
NM_001006605	chr1	93307716	93427079	FAM69A	155110
NM_001312688	chr1	107682539	108027521	NTNG1	23459
NM_001113226	chr1	107690690	108027521	NTNG1	23459
NM_001113228	chr1	107690690	108027521	NTNG1	23459
NM_014917	chr1	107682539	108027521	NTNG1	23459
NM_001330665	chr1	107683213	108027521	NTNG1	23459
NM_001323041	chr1	114239826	114302162	PHTF1	82706
NM_001204269	chr1	111136201	111174096	KCNA2	22865
NM_001042679	chr1	113243748	113249678	RHOC	81454
NM_001042678	chr1	113243748	113250025	RHOC	81454
NR_136564	chr1	114239826	114302162	PHTF1	82706
NR_136565	chr1	114239826	114302162	PHTF1	82706
NR_136566	chr1	114239826	114302162	PHTF1	82706
NR_136567	chr1	114239826	114302162	PHTF1	82706
NR_136568	chr1	114246445	114302162	PHTF1	82706
NM_001323045	chr1	114239826	114302162	PHTF1	82706
NM_001323053	chr1	114248388	114302162	PHTF1	82706
NM_006496	chr1	110091185	110138454	GNAI3	23105
NM_001323047	chr1	114246445	114302162	PHTF1	82706
NM_001323051	chr1	114248388	114302162	PHTF1	82706
NM_001323052	chr1	114248388	114302162	PHTF1	82706
NM_001323042	chr1	114239826	114302510	PHTF1	82706
NM_175744	chr1	113243748	113250025	RHOC	81454
NM_001323050	chr1	114246445	114302162	PHTF1	82706
NM_001323049	chr1	114246445	114302162	PHTF1	82706
NM_001323048	chr1	114246445	114302162	PHTF1	82706
NM_001323046	chr1	114239826	114302162	PHTF1	82706
NM_001323044	chr1	114239826	114302162	PHTF1	82706
NM_001323043	chr1	114239826	114302162	PHTF1	82706
NM_006608	chr1	114239823	114301777	PHTF1	82706
NM_002884	chr1	112162404	112259317	RAP1A	20678
NM_001291896	chr1	112162768	112259317	RAP1A	20678
NM_001010935	chr1	112162404	112259317	RAP1A	20678
NM_024408	chr1	120454175	120612317	NOTCH2	145060
NM_006784	chr1	118472371	118503049	WDR3	22813
NM_001200001	chr1	120477735	120612317	NOTCH2	145060
NM_001037501	chr1	144593687	144832249	NBPF8	155225
NR_102404	chr1	144593687	144832249	NBPF8	155225
NR_102405	chr1	144593687	144832249	NBPF8	155225
NM_001037675	chr1	144614958	144830407	NBPF9	193833
NM_001277444	chr1	144614958	145370304	NBPF9	193833
NR_104217	chr1	148250249	149109725	NBPF25P	313653
NM_001201326	chr1	145727665	145764206	PDZK1	79132
NM_001201325	chr1	145727665	145764206	PDZK1	79132
NM_020205	chr1	149912228	149982686	OTUD7B	152768
NM_002614	chr1	145727665	145764206	PDZK1	79132
NM_001278267	chr1	144146810	146467744	NBPF20	195402
NM_001351365	chr1	144146811	146467744	NBPF19	414015
NM_001302371	chr1	145293370	146466121	NBPF10	154799
NM_001039703	chr1	145293370	146466121	NBPF10	154799
NM_001351365	chr1	146032541	148346791	NBPF19	414015
NM_001349679	chr1	154127779	154155725	TPM3	24313
NR_002188	chr1	155183615	155197325	GBAP1	289219
NM_001323615	chr1	156219014	156252681	SMG5	83333
NM_001323614	chr1	156219014	156252681	SMG5	83333
NM_001323617	chr1	156219014	156261289	SMG5	83333
NM_001323616	chr1	156219014	156252681	SMG5	83333
NM_153649	chr1	154127779	154155725	TPM3	24313
NM_001278191	chr1	154127779	154150697	TPM3	24313
NM_015327	chr1	156219014	156252620	SMG5	83333
NM_001278189	chr1	154127779	154155725	TPM3	24313
NM_001278188	chr1	154127779	154155725	TPM3	24313
NM_001278190	chr1	154127779	154155725	TPM3	24313
NM_152263	chr1	154134288	154164611	TPM3	24313
NR_103461	chr1	154127779	154155725	TPM3	24313
NM_001043353	chr1	154127779	154155725	TPM3	24313
NM_001043352	chr1	154127779	154155725	TPM3	24313
NM_001043351	chr1	154127779	154155725	TPM3	24313
NM_021642	chr1	161475204	161489360	FCGR2A	152748
NM_002585	chr1	164528596	164821060	PBX1	20647
NM_001204963	chr1	164528596	164821060	PBX1	20647
NM_001204961	chr1	164528596	164821060	PBX1	20647
NM_001136219	chr1	161475204	161489360	FCGR2A	152748
NM_001353130	chr1	164528958	164821060	PBX1	20647
NM_001353131	chr1	164528596	164855284	PBX1	20647
NR_146559	chr1	171810617	172381857	DNM3	154824
NM_001350204	chr1	171810617	172381857	DNM3	154824
NM_022093	chr1	175036993	175117202	TNN	156493
NM_001163629	chr1	170904611	171033906	MROH9	388588
NM_015569	chr1	171810617	172381857	DNM3	154824
NM_025063	chr1	170904635	170967946	MROH9	388588
NM_001278252	chr1	171810617	172102532	DNM3	154824
NM_005092	chr1	173010359	173020103	TNFSF18	143791
NM_001136127	chr1	171810617	172381857	DNM3	154824
NM_001350206	chr1	171810617	172387603	DNM3	154824
NM_001350205	chr1	171810617	172102532	DNM3	154824
NM_003101	chr1	179262848	179327814	SOAT1	22801
NM_001174061	chr1	183441505	183523328	SMG7	133216
NM_201569	chr1	183441505	183523328	SMG7	133216
NM_201568	chr1	183441505	183523328	SMG7	133216
NM_001350222	chr1	183441505	183523328	SMG7	133216
NM_001350221	chr1	183441505	183523328	SMG7	133216
NM_170692	chr1	178062863	178448648	RASAL2	154782
NM_001137669	chr1	182419255	182529732	RGSL1	156861
NM_021165	chr1	177140523	177251558	BRINP2	165317
NM_032360	chr1	180257351	180472022	ACBD6	83004
NM_001331007	chr1	183441505	183523328	SMG7	133216
NM_001350220	chr1	183441505	183523328	SMG7	133216
NM_001252511	chr1	179262848	179327814	SOAT1	22801
NM_001252512	chr1	179262848	179327814	SOAT1	22801
NM_001350219	chr1	183441505	183523328	SMG7	133216
NR_045530	chr1	179262848	179327814	SOAT1	22801
NM_173156	chr1	183441505	183523328	SMG7	133216
NM_000963	chr1	186640943	186649559	PTGS2	77647
NR_135153	chr1	197122811	197169672	ZBTB41	156417
NM_133494	chr1	198126107	198291548	NEK7	193942
NM_194314	chr1	197122813	197169672	ZBTB41	156417
NR_120535	chr1	206557366	206581301	SRGAP2D	289981
NM_001331029	chr1	202317829	202557697	PPP1R12B	24263
NM_015326	chr1	206516199	206637783	SRGAP2	156423
NM_001170637	chr1	206516199	206637783	SRGAP2	156423
NM_001167858	chr1	202317829	202407370	PPP1R12B	24263
NM_001167857	chr1	202317829	202407370	PPP1R12B	24263
NM_001300952	chr1	206516199	206629507	SRGAP2	156423
NM_002481	chr1	202317829	202557697	PPP1R12B	24263
NM_001122834	chr1	210501595	210849638	HHAT	154105
NM_001243511	chr1	216676587	217311097	ESRRG	150664
NM_001243510	chr1	216676587	217311097	ESRRG	150664
NM_018664	chr1	212859758	212873327	BATF3	156046
NM_001170588	chr1	210502249	210849638	HHAT	154105
NM_001134285	chr1	216676587	217311097	ESRRG	150664
NM_001170587	chr1	210502249	210849638	HHAT	154105
NM_001170564	chr1	210501595	210849638	HHAT	154105
NM_206595	chr1	216676587	217262987	ESRRG	150664
NM_206594	chr1	216676587	217262987	ESRRG	150664
NM_001170580	chr1	210502639	210849638	HHAT	154105
NM_001243513	chr1	216676587	217113015	ESRRG	150664
NM_018194	chr1	210502249	210849638	HHAT	154105
NM_001243506	chr1	216676587	217262987	ESRRG	150664
NM_001243505	chr1	216676587	217263196	ESRRG	150664
NM_001243509	chr1	216676587	217250312	ESRRG	150664
NM_001243507	chr1	216676587	217250312	ESRRG	150664
NM_001243512	chr1	216676587	217113015	ESRRG	150664
NM_001350125	chr1	216676587	217251702	ESRRG	150664
NM_001350124	chr1	216676587	217311097	ESRRG	150664
NM_001350123	chr1	216676587	217262987	ESRRG	150664
NM_001350122	chr1	216676587	217263889	ESRRG	150664
NM_206933	chr1	215796235	216596738	USH2A	143290
NR_031644	chr1	218610974	219281452	MIR548F3	290618
NR_002753	chr1	220046618	220292777	RNU5F-1	429978
NM_001373	chr1	225117355	225586996	DNAH14	156078
NM_004446	chr1	220141941	220220000	EPRS	79874
NR_028399	chr1	231664398	231838307	TSNAX-DISC1	414279
NR_028400	chr1	231664398	231886365	TSNAX-DISC1	414279
NR_028394	chr1	231664398	231954990	TSNAX-DISC1	414279
NR_028395	chr1	231664398	231954990	TSNAX-DISC1	414279
NR_028396	chr1	231664398	231954990	TSNAX-DISC1	414279
NR_028397	chr1	231664398	231954990	TSNAX-DISC1	414279
NR_028398	chr1	231664398	231954990	TSNAX-DISC1	414279
NR_028393	chr1	231664398	232177019	TSNAX-DISC1	414279
NR_034037	chr1	231727037	231747836	LINC00582	324808
NM_018230	chr1	229577043	229644088	NUP133	82516
NM_145214	chr1	228581376	228594517	TRIM11	82768
NM_001301365	chr1	235824330	236047008	LYST	71636
NM_001350113	chr1	240938813	241520530	RGS7	72725
NM_001282775	chr1	240938813	241520530	RGS7	72725
NM_001291939	chr1	236958580	237067281	MTR	74397
NM_001291940	chr1	236958580	237067281	MTR	74397
NM_001282778	chr1	240938813	241520530	RGS7	72725
NM_002924	chr1	240938813	241520530	RGS7	72725
NM_001350116	chr1	240938813	241519126	RGS7	72725
NM_001350115	chr1	240938813	241520530	RGS7	72725
NM_001350114	chr1	240938813	241520530	RGS7	72725
NM_001282773	chr1	240938813	241520530	RGS7	72725
NM_000254	chr1	236958580	237067281	MTR	74397
NM_000081	chr1	235824330	236030227	LYST	71636
NM_001167740	chr1	245912641	246670644	SMYD3	35625
NM_018012	chr1	245318286	245872734	KIF26B	151072
NM_032752	chr1	247460714	247495242	ZNF496	151751
NM_022743	chr1	245912641	246580714	SMYD3	35625
NM_001001918	chr1	248512076	248513015	OR14C36	286142
NR_047519	chr1	762970	794826	LINC01128	279644
NR_047521	chr1	762970	794826	LINC01128	279644
NR_047523	chr1	762970	794826	LINC01128	279644
NR_047524	chr1	762970	794826	LINC01128	279644
NR_047525	chr1	763177	794826	LINC01128	279644
NM_001198993	chr1	1682670	1710297	NADK	79463
NM_001198994	chr1	1682670	1711508	NADK	79463
NM_033489	chr1	1570602	1655859	CDK11B	202273
NM_033490	chr1	1570602	1655859	CDK11B	202273
NM_033486	chr1	1570602	1655859	CDK11B	202273
NM_017900	chr1	1309109	1310818	AURKAIP1	82032
NM_001353641	chr1	1682670	1711586	NADK	79463
NM_033487	chr1	1570602	1655859	CDK11B	202273
NM_023018	chr1	1682670	1709909	NADK	79463
NM_001787	chr1	1570602	1655859	CDK11B	202273
NM_001291345	chr1	1570602	1655859	CDK11B	202273
NM_001353642	chr1	1682670	1709928	NADK	79463
NM_001014980	chr1	1177825	1182102	C1QTNF12	398042
NM_003820	chr1	2487803	2497061	TNFRSF14	145296
NM_001297605	chr1	2487803	2497061	TNFRSF14	145296
NM_001242672	chr1	2572806	2706230	TTC34	265396
NM_003036	chr1	2160133	2241652	SKI	115269
NM_001409	chr1	3404505	3528059	MEGF6	138831
NM_004402	chr1	3773830	3801993	DFFB	85385
NR_104222	chr1	3773830	3801993	DFFB	85385
NM_001320136	chr1	3773830	3801993	DFFB	85385
NM_001282669	chr1	3773830	3801993	DFFB	85385
NR_135152	chr1	3773830	3801993	DFFB	85385
NR_135151	chr1	3773830	3801993	DFFB	85385
NR_135150	chr1	3773830	3801993	DFFB	85385
NM_001320132	chr1	3773830	3801993	DFFB	85385
NM_152492	chr1	3668964	3688209	CCDC27	84564
NM_001042478	chr1	4715104	4837854	AJAP1	77717
NM_018836	chr1	4715104	4843851	AJAP1	77717
NM_172130	chr1	6086072	6161253	KCNAB2	79047
NM_015102	chr1	5922867	6052533	NPHP4	60440
NM_003636	chr1	6086072	6161253	KCNAB2	79047
NM_001199862	chr1	6105980	6161253	KCNAB2	79047
NM_001199861	chr1	6052357	6161253	KCNAB2	79047
NM_001199860	chr1	6094347	6161253	KCNAB2	79047
NM_001199863	chr1	6106173	6161253	KCNAB2	79047
NR_111987	chr1	5922867	6052533	NPHP4	60440
NM_001291594	chr1	5922867	6052533	NPHP4	60440
NM_001291593	chr1	5922867	6052533	NPHP4	60440
NR_038934	chr1	6845383	6948261	CAMTA1	20625
NR_146202	chr1	6845383	6948261	CAMTA1	20625
NR_146203	chr1	6845383	6948261	CAMTA1	20625
NM_007274	chr1	6324331	6453826	ACOT7	81735
NM_001242701	chr1	6845383	6948261	CAMTA1	20625
NM_181864	chr1	6324331	6445883	ACOT7	81735
NM_001265592	chr1	6526151	6557156	PLEKHG5	152414
NM_001042663	chr1	6526151	6557484	PLEKHG5	152414
NM_198681	chr1	6526151	6580121	PLEKHG5	152414
NM_001349621	chr1	7729789	7829766	CAMTA1	20625
NM_016831	chr1	7844488	7905240	PER3	151042
NM_001289864	chr1	7844488	7905240	PER3	151042
NM_001289863	chr1	7844488	7905240	PER3	151042
NM_001349617	chr1	7729824	7829766	CAMTA1	20625
NM_001289862	chr1	7844488	7905240	PER3	151042
NM_001289861	chr1	7844488	7905240	PER3	151042
NM_001349625	chr1	7729803	7829766	CAMTA1	20625
NM_001349620	chr1	7729789	7829766	CAMTA1	20625
NM_001349623	chr1	7729789	7829766	CAMTA1	20625
NM_001349614	chr1	7729789	7829766	CAMTA1	20625
NM_001561	chr1	7975930	8003225	TNFRSF9	79430
NM_001042681	chr1	8412463	8877699	RERE	193622
NM_024980	chr1	9164475	9189229	GPR157	151025
NM_012102	chr1	8412463	8877699	RERE	193622
NM_004285	chr1	9294862	9331394	H6PD	82163
NM_001282587	chr1	9299902	9331394	H6PD	82163
NM_015074	chr1	10270763	10441661	KIF1B	149021
NM_183416	chr1	10270763	10368655	KIF1B	149021
NM_006048	chr1	10093040	10241296	UBE4B	84221
NM_001105562	chr1	10093040	10241296	UBE4B	84221
NM_020248	chr1	9908333	9970316	CTNNBIP1	84838
NM_014944	chr1	9789078	9884584	CLSTN1	20617
NM_001302883	chr1	9789078	9884584	CLSTN1	20617
NM_001012329	chr1	9908333	9970316	CTNNBIP1	84838
NM_001009566	chr1	9789078	9884584	CLSTN1	20617
NM_001170754	chr1	11006529	11042094	C1orf127	156172
NM_017766	chr1	10707262	10856733	CASZ1	82898
NM_002685	chr1	11126669	11159967	EXOSC10	85022
NM_004958	chr1	11166587	11322608	MTOR	201666
NM_004565	chr1	10535002	10690815	PEX14	25037
NM_001079843	chr1	10696665	10856733	CASZ1	82898
NM_001001998	chr1	11126669	11159967	EXOSC10	85022
NM_001243	chr1	12123433	12204264	TNFRSF8	79016
NM_015378	chr1	12290095	12572098	VPS13D	147309
NM_018156	chr1	12290095	12572098	VPS13D	147309
NM_014874	chr1	12040237	12073572	MFN2	75829
NM_020350	chr1	11796141	11810828	AGTRAP	81757
NM_001281430	chr1	12123433	12204264	TNFRSF8	79016
NM_001127660	chr1	12040237	12073572	MFN2	75829
NM_001040197	chr1	11796141	11810828	AGTRAP	81757
NM_001040196	chr1	11796141	11810828	AGTRAP	81757
NM_001040195	chr1	11796141	11810828	AGTRAP	81757
NM_001040194	chr1	11796141	11810828	AGTRAP	81757
NM_001306072	chr1	13052393	13112702	PRAMEF26	436071
NM_001100631	chr1	13328832	13477528	PRAMEF22	435807
NM_001310134	chr1	13052239	13112702	PRAMEF25	287137
NM_001013630	chr1	12704565	12727097	AADACL4	201908
NR_027136	chr1	15438310	15478960	TMEM51-AS1	279777
NM_052929	chr1	15573720	15724623	FHAD1	279975
NM_015209	chr1	14925212	15394651	KAZN	397865
NM_201628	chr1	14925212	15444544	KAZN	397865
NM_001018001	chr1	15256295	15394651	KAZN	397865
NM_001018000	chr1	15250624	15394651	KAZN	397865
NM_001017999	chr1	15272414	15394651	KAZN	397865
NR_109898	chr1	15853307	15898228	DNAJC16	84980
NM_015001	chr1	16174358	16266950	SPEN	193629
NM_015291	chr1	15853307	15898228	DNAJC16	84980
NM_018994	chr1	16573334	16678986	FBXO42	81087
NM_001287811	chr1	15853307	15898228	DNAJC16	84980
NR_026567	chr1	17017712	17046652	ESPNP	413980
NM_017940	chr1	16888921	16940100	NBPF1	153751
NM_001135248	chr1	17300998	17307173	MFAP2	152390
NM_001135247	chr1	17300998	17308081	MFAP2	152390
NM_007365	chr1	17393255	17445948	PADI2	84245
NM_013358	chr1	17531620	17572501	PADI1	84021
NM_017459	chr1	17300998	17308081	MFAP2	152390
NM_002403	chr1	17300998	17307173	MFAP2	152390
NR_137287	chr1	17866329	18024364	ARHGEF10L	81277
NR_137288	chr1	17866329	18024364	ARHGEF10L	81277
NM_001319837	chr1	17907047	18024370	ARHGEF10L	81277
NM_032880	chr1	18434239	18704977	IGSF21	151788
NM_001319838	chr1	17944807	18024370	ARHGEF10L	81277
NM_030812	chr1	18081807	18153558	ACTL8	153291
NM_018125	chr1	17866329	18024370	ARHGEF10L	81277
NM_001328124	chr1	17944807	18024364	ARHGEF10L	81277
NM_001011722	chr1	17907047	18024370	ARHGEF10L	81277
NM_001206541	chr1	19665266	19812135	CAPZB	35740
NM_001206540	chr1	19665266	19812135	CAPZB	35740
NM_001282162	chr1	19665266	19811201	CAPZB	35740
NM_002584	chr1	18957499	19062632	PAX7	72530
NM_001313932	chr1	19700668	19812135	CAPZB	35740
NM_001135254	chr1	18957499	19075360	PAX7	72530
